"idade_local" "biome"
"2286" 2.60963092358 "Temperate"
"2287" 2.60963092358 "Temperate"
"2288" 2.60963092358 "Temperate"
"2289" 2.60963092358 "Temperate"
"2290" NA "Temperate"
"2291" NA "Temperate"
"2292" NA "Temperate"
"2293" NA "Temperate"
"2294" NA "Temperate"
"2295" NA "Temperate"
"2296" NA "Temperate"
"2297" NA "Temperate"
"2298" NA "Temperate"
"2299" NA "Temperate"
"2300" NA "Temperate"
"2301" NA "Temperate"
"2302" NA "Temperate"
"2303" NA "Temperate"
"2304" NA "Temperate"
"2305" NA "Temperate"
"2306" NA "Temperate"
"2307" NA "Temperate"
"2308" NA "Temperate"
"2309" NA "Temperate"
"2310" NA "Temperate"
"2311" NA "Temperate"
"2312" NA "Temperate"
"2313" NA "Temperate"
"2314" NA "Temperate"
"2315" NA "Temperate"
"2316" NA "Temperate"
"2317" NA "Temperate"
"2318" NA "Temperate"
"2319" NA "Temperate"
"2320" NA "Temperate"
"2321" NA "Temperate"
"2322" NA "Temperate"
"2323" NA "Temperate"
"2324" NA "Temperate"
"2325" NA "Temperate"
"2326" NA "Temperate"
"2327" NA "Temperate"
"2328" NA "Temperate"
"2329" NA "Temperate"
"2330" NA "Temperate"
"2345" NA "Temperate"
"2346" NA "Temperate"
"2347" NA "Temperate"
"2349" 0.325562189980005 "Temperate"
"2350" 1.46759655678 "Temperate"
"2351" 1.46759655678 "Temperate"
"2352" 1.46759655678 "Temperate"
"2353" 2.60963092358 "Temperate"
"2354" 2.60963092358 "Temperate"
"2355" 2.60963092358 "Temperate"
"2356" 2.60963092358 "Temperate"
"2357" 1.08691843451334 "Temperate"
"2358" 1.08691843451334 "Temperate"
"2359" 1.08691843451334 "Temperate"
"2360" 1.08691843451334 "Temperate"
"2361" NA "Temperate"
"2362" NA "Temperate"
"2363" NA "Temperate"
"2364" NA "Temperate"
"2365" NA "Temperate"
"2366" NA "Temperate"
"2367" NA "Temperate"
"2368" NA "Temperate"
"2369" NA "Temperate"
"2370" NA "Temperate"
"2371" NA "Temperate"
"2372" NA "Temperate"
"2373" NA "Temperate"
"2374" NA "Temperate"
"2375" NA "Temperate"
"2376" NA "Temperate"
"2377" NA "Temperate"
"2378" NA "Temperate"
"2379" NA "Temperate"
"2380" NA "Temperate"
"2381" NA "Temperate"
"2382" NA "Temperate"
"2383" NA "Temperate"
"2384" NA "Temperate"
"2385" NA "Temperate"
"2386" NA "Temperate"
"2387" NA "Temperate"
"2388" NA "Temperate"
"2389" NA "Temperate"
"2390" NA "Temperate"
"2391" NA "Temperate"
"2392" NA "Temperate"
"2393" NA "Temperate"
"2394" NA "Temperate"
"2395" NA "Temperate"
"2396" NA "Temperate"
"2397" NA "Temperate"
"2398" NA "Temperate"
"2399" NA "Temperate"
"2400" NA "Temperate"
"2401" NA "Temperate"
"2402" NA "Temperate"
"2403" NA "Temperate"
"2404" NA "Temperate"
"2405" NA "Temperate"
"2406" NA "Temperate"
"2407" NA "Temperate"
"2408" NA "Temperate"
"2409" NA "Temperate"
"2410" NA "Temperate"
"2411" NA "Temperate"
"2412" NA "Temperate"
"2413" NA "Temperate"
"2414" NA "Temperate"
"2415" NA "Temperate"
"2416" NA "Temperate"
"2417" NA "Temperate"
"2418" NA "Temperate"
"2419" NA "Temperate"
"2420" 0.325562189980005 "Temperate"
"2421" 0.325562189980005 "Temperate"
"2422" 1.46759655678 "Temperate"
"2423" 1.46759655678 "Temperate"
